number,title,updated_at,html_url
14495,[Bug]: [UI] - Add input validation related to ZAP warnings,03/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14495
14494,Discovery API validation errors verification test cases have to be moved to E2E,27/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14494
14493,[DOC] Improve documentation related to SORPRESAS,25/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14493
14491,SOR id apparently missing in HPSA for a FFAPI job due to unavailability of HPSA REST API,02/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14491
14489,Discovery APIs not returning HTTP request validation errors correctly,26/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14489
14488,[Feat]: [UI] Update ``js-yaml`` library related to ``CVE-2025-64718``,03/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14488
14484, In ON_ERROR job notifyVNF job description shows Operation finished successfully instead of error detail message sent in the notification request,02/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14484
14482,Address logback-core CVE-2025-11226 Medium vulnerability in Container Microservice [Not vulnerable],02/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14482
14481,[Installer]:  Ansible implementation to support ISSU for the Discovery re-architecture,01/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14481
14480,[NFVO 7.5.0]: Release Checklist,01/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14480
14479,[RESEARCH] Effort Tracking issue for Post Quantum Cryptography,14/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14479
14475,FFAPI logic to dump collect information for SORPRESAS is incorrect in some cases,14/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14475
14474,Training and Knowledge sharing sessions during PI-09...,12/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14474
14473,Troubleshoot issues related to NFVO 8.0.0 Major update...,12/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14473
14469,Disable http2 in IdP,21/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14469
14467,[Installer] Offline Simplex upgrade Installation from v7.5.0 to v7.6.0 using EDB database,05/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14467
14466,Validate offline installation/upgradation of 7.6.0 GA on RHEL 8.x Enviornment,06/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14466
14462,[E2e] Issue to fix intermittent failure noticed in Validate Change CNF Rollback Cnf-KOScenario5 in CNFLifeCycleChangeCNFPackageNonTLDMode suite,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14462
14461,[EPIC] Support latest HPESA version for NFVO 7.6.0 release,06/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14461
14460,How to handle ISSU in discovery rearchitecture,02/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14460
14459,SORPRESAS fails to allocate resources,25/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14459
14458,E2E tests to check if sensitive info is logged,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14458
14456,Update struts2-core library to latest version,26/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14456
14455,[NFVO 7.6.0] Test Suite Stabilization,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14455
14454,[E2E] Research + Improve  CNFLifeCycleChangeCNFPackageNonTLDMode in VZ env,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14454
14451,Resource allocation using SORPRESAS workflow and scripts does not work in NFVD 7.x (5393247668),04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14451
14450,NFVO Defects Resolution PI 9,02/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14450
14449,[Test] [UI] E2E for Automatic mechanism to reconciliate the CNFs of our NFVO inventory with the actual status of Kubernetes,21/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14449
14448,[Docs]: RN and documentation related to UOC update v3.1.19,05/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14448
14447,[Feat]: [UI] Upgrade UOC to v3.1.19,05/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14447
14446,[EPIC] Upgrade UOC to v3.1.19,05/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14446
14445,Check for token masking in discovery has to be made case insensitive,03/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14445
14444,[Feat] [UI] Automatic mechanism to reconciliate the CNFs of our NFVO inventory with the actual status of Kubernetes,30/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14444
14443,"e2e validation to check that the vimConnectionId of ETSI V2 Instantiate, Change VNFKG and Change Ext Conn requests are consistent when using VNFM Authentication",06/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14443
14442,Modify migration tool to reencrypt DB password in discovery,01/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14442
14439,[NFVO 7.6.0] Things to be added into Release Notes for this milestone,12/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14439
14438,[NFVO 7.6.0] R&D Effort Reporting for CPE Activities,05/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14438
14437,[NFVO 7.6.0] FF API tests- Troubleshooting - Effort Tracking,07/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14437
14436,[NFVO 7.6.0] E2E UI component Test Suite - Troubleshooting - Effort Tracking,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14436
14435,[NFVO 7.6.0] R&D Effort Reporting for Support Issues,05/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14435
14434,[NFVO 7.6.0] Vulnerability impact assessment and triage effort,05/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14434
14433,[NFVO 7.6.0] Publish Security Bulletin,29/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14433
14432,[NFVO 7.6.0] E2E Test Suite nightly and VZ DB execution - Troubleshooting - Effort Tracking - CNF,07/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14432
14431,[NFVO 7.6.0] Retro for 7.5.0 release,02/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14431
14430,[NFVO 7.6.0] E2E Test Suite nightly execution - Troubleshooting - Effort Tracking - Openstack,26/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14430
14429,[NFVO 7.6.0] E2E Test Suite nightly execution - Troubleshooting - Effort Tracking - ETSI v2,26/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14429
14428,[NFVO 7.6.0] E2E Test Suite nightly execution - Troubleshooting - Effort Tracking - Classic ETSI,26/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14428
14427,[NFVO 7.6.0] E2E Test Suite nightly and VZ DB execution - Troubleshooting - Effort Tracking - RateLimit / Onboarding / Unboarding,07/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14427
14426,[NFVO 7.6.0] E2E Test Suite nightly and VZ DB execution - Troubleshooting - Effort Tracking - vCenter ,07/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14426
14425,Create a script to reencrypt DB password in discovery,02/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14425
14424,[Installer]: Configure the VIP on the load balancer to enable service discovery via HAProxy.,01/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14424
14423,A41 Onboard does not correctly track the progress of OpenStack discovery refresh jobs,03/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14423
14418,[E2E] Verify tenant name in case of deploy failure in default datacenter,26/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14418
14417,Decrypt OS DC password before comparison for discovery in onboard api requests,03/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14417
14413,Migrate discovery to JDK 25,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14413
14412,Discovery changes for NFVO major 8.0.0,12/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14412
14410,[Research] Upload the kubectl and helm binary inventories to VTN,24/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14410
14409,Remove the unused discovery API endpoints,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14409
14406,`kubectl get events` calls of container-microservice should limit the number of rows returned and filter them by the chart's release name,02/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14406
14405,[SQL] Delete ONGOING entries in table NFVD_INSTANTIATION (once more),04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14405
14403,Create DB layer in NFVO Discovery to interact with NFVO DB,01/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14403
14402,[CCT 1085] Allow Anti-affinity at VDU level using Server_Group (instead of different_host hint),04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14402
14399,Test case to verify Notification Description is getting used to update parent job description in classic etsi suites,21/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14399
14391,Remove Discovery Management view,12/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14391
14387,E2E Test cases to validate the in-progress jobs clean up timer,16/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14387
14380,Integration testing of discovery after all changes from installer and cloud,13/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14380
14379,Document the changes for discovery Cloud oriented architecture,13/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14379
14376,Installer should remove pacemaker for discovery and move the VIP previously managed by it to the load balancer,01/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14376
14375,Configure discovery controller with DB information,02/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14375
14374, Install 2 rpms (discovery controller and adapters rpms) instead of one in discovery,02/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14374
14372,"Add scale in logic to delete pods after discovery in cloud, if serviceaccount token is mounted",26/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14372
